"project_status";"id";"naam";"startdatum";"ministerie";"peildatum.a";"rapportage_herijking.a";"actueel_einddatum.a";"daadwerkelijk_totaal_projectkosten.a";"actueel_totaal_projectkosten.a";"peildatum.z";"rapportage_herijking.z";"actueel_einddatum.z";"daadwerkelijk_totaal_projectkosten.z";"actueel_totaal_projectkosten.z";"doorlooptijd.z";"hex";"col";"verschil_abs";"verschil_per"
"In uitvoering";"296261";"LUV VTS";2015-06-01;"Infrastructuur en Milieu";2019-12-31;"Initieel";2019-12-31;0;0;2019-12-31;"Rapportage";2019-12-31;0,9;0,8;1674;"#A2A419";"moss green";0,9;Inf
"In uitvoering";"297287";"Maritime Single Window (MSW)";2012-01-23;"Infrastructuur en Milieu";2015-06-01;"Initieel";2015-06-01;0;5;2017-12-31;"Rapportage";2017-12-31;6,7;7,2;2169;"#A2A419";"moss green";1,7;34
"In uitvoering";"259451";"Mini One Stop Shop (MOSS)";2013-06-01;"Financiën";2015-06-01;"Initieel";2015-06-01;0;8,59;2017-03-31;"Herijking";2017-03-31;21,75;24,04;1399;"#A2A419";"moss green";13,16;153,201396973225
"In uitvoering";"160174";"Modernisering Object Bediening Zeeland";2005-05-02;"Infrastructuur en Milieu";2010-01-01;"Initieel";2010-01-01;0;23,14;2018-01-01;"Rapportage";2018-01-01;57,04;63,46;4627;"#A2A419";"moss green";33,9;146,499567847882
"In uitvoering";"300267";"Multikanaal Mededelen (MKM)";2015-01-01;"Financiën";2017-12-31;"Initieel";2017-12-31;0;6,47;2017-12-31;"Rapportage";2017-12-31;3,5;5,96;1095;"#A2A419";"moss green";-2,97;-45,9041731066461
"In uitvoering";"160194";"Continue screening kinderopvang, fase 2";2013-11-28;"Sociale Zaken en Werkgelegenheid";2016-12-31;"Initieel";2016-12-31;0;6,58;2019-12-31;"Rapportage";2019-12-31;7,8;11,93;2224;"#A2A419";"moss green";1,22;18,5410334346505
"In uitvoering";"296461";"Renovatie Stuwenensemble Lek en Neder-Rijn";2015-09-23;"Infrastructuur en Milieu";2021-12-31;"Initieel";2021-12-31;0;0;2021-12-31;"Rapportage";2021-12-31;0;0;2291;"#A2A419";"moss green";0;0
"In uitvoering";"296411";"Renovatie Velsertunnel";2015-12-31;"Infrastructuur en Milieu";2016-12-31;"Initieel";2016-12-31;0;0;2017-01-16;"Rapportage";2017-01-16;0;0;382;"#A2A419";"moss green";0;0
"In uitvoering";"415526";"Phoenix+";2017-03-02;"Economische Zaken";2020-12-31;"Initieel";2020-12-31;9,44;41,07;2020-12-31;"Rapportage";2020-12-31;9,44;41,07;1400;"#A2A419";"moss green";-31,63;-77,0148526905284
"In uitvoering";"296811";"PPO RITS";2014-06-30;"Infrastructuur en Milieu";2020-08-16;"Initieel";2020-08-16;0;0;2020-12-31;"Rapportage";2020-12-31;0;0;2376;"#A2A419";"moss green";0;0
"In uitvoering";"416140";"Prog. Cloudwerkplek: Continuïteit Werkplekdiensten";2016-05-01;"Economische Zaken";2018-07-01;"Initieel";2018-07-01;0;33,6;2018-07-01;"Rapportage";2018-07-01;5,1;33,6;791;"#A2A419";"moss green";-28,5;-84,8214285714286
